Temperature,Model,Cue,Words,Count,sbert_novelty,sbert_appropriateness,sbert_valid_count,fasttext_novelty,fasttext_appropriateness,fasttext_valid_count,glove_novelty,glove_appropriateness,glove_valid_count,bert_l3_novelty,bert_l3_appropriateness,bert_l4_novelty,bert_l4_appropriateness,bert_l5_novelty,bert_l5_appropriateness,bert_l6_novelty,bert_l6_appropriateness,bert_l7_novelty,bert_l7_appropriateness,bert_l8_novelty,bert_l8_appropriateness,bert_l9_novelty,bert_l9_appropriateness,bert_lavg_novelty,bert_lavg_appropriateness,bert_valid_count
Mid,annotator1,outset,"['start', 'movie', 'beginning', 'business', 'project', 'origin', 'creation', 'baby', 'birth', 'departure']",10,60.65446853637695,126.77490234375,10,78.26647186279297,125.92967987060547,10,68.1025619506836,126.84263610839844,10,19.93692970275879,183.62958526611328,17.511281967163086,184.37042236328125,17.109315872192383,183.77299118041992,16.415573120117188,183.02490425109863,19.419662475585938,179.0895538330078,18.99091148376465,179.809907913208,22.100202560424805,175.86338806152344,15.935961723327637,184.50213241577148,10
Mid,annotator1,commission,"['art', 'design', 'artist', 'architecture', 'building', 'money', 'individual', 'online', 'order', 'special']",10,60.91840362548828,129.24352264404297,10,73.59032440185547,121.35733032226562,10,64.29808807373047,128.8319091796875,10,19.521244049072266,179.2191219329834,17.48141098022461,181.45427322387695,15.93874740600586,181.3410129547119,14.993368148803711,182.2675838470459,16.774198532104492,179.65158081054688,16.639986038208008,179.38860893249512,20.912330627441406,176.05447387695312,14.740462303161621,182.75903511047363,10
Mid,annotator1,operand,"['plus', 'minus', 'math', 'arithmetic', 'division', 'multiplication', 'programming', 'formula', 'school', 'blackboard']",10,62.756080627441406,131.93839263916016,10,70.4183578491211,123.04332733154297,10,69.7152099609375,120.64549255371094,10,22.665987014770508,167.3740119934082,20.024526596069336,171.88275146484375,18.887861251831055,173.40381813049316,17.764360427856445,176.27188873291016,20.651145935058594,175.31113243103027,19.654151916503906,176.87351989746094,22.916391372680664,174.46658897399902,17.38739776611328,177.2506809234619,10
Mid,annotator1,dividend,"['bank', 'interest', 'money', 'division', 'rest', 'leftover', 'benefit', 'gain', 'account', 'savings']",10,69.9003677368164,126.67241668701172,10,79.49681854248047,118.68998718261719,10,67.44589233398438,127.59725189208984,10,24.928028106689453,166.46220016479492,22.49741554260254,170.44951629638672,22.329484939575195,170.97299194335938,21.06812286376953,173.19336891174316,23.950286865234375,170.6067295074463,22.669614791870117,171.60709190368652,25.573137283325195,169.26626205444336,20.04999351501465,173.63488006591797,10
Mid,annotator1,beam,"['light', 'sun', 'laser', 'search', 'aliens', 'ufo', 'glitter', 'lake', 'saber', 'sky']",10,67.47334289550781,133.33336639404297,10,78.79510498046875,128.00542449951172,10,76.75613403320312,130.55545043945312,10,20.36370277404785,180.92269706726074,16.815317153930664,184.40233898162842,16.256311416625977,185.50026893615723,15.708205223083496,186.8805332183838,17.78675651550293,184.87785148620605,17.018266677856445,185.44367694854736,19.340349197387695,184.09878730773926,14.938910484313965,186.88076877593994,10
Mid,annotator1,release,"['freedom', 'music', 'prison', 'catch', 'cage', 'captivity', 'data', 'leash', 'album', 'roaming']",10,67.0259780883789,133.7578125,9,82.95677947998047,121.30543518066406,9,79.5009765625,122.40742492675781,9,22.13136863708496,179.53372383117676,18.986576080322266,182.48605346679688,18.412681579589844,182.77385902404785,17.9538516998291,183.52164840698242,21.489933013916016,180.6982765197754,21.85516357421875,180.91545295715332,26.24306297302246,177.1313705444336,17.497026443481445,184.0869026184082,9
Mid,annotator1,termination,"['job', 'work', 'occupation', 'removal', 'end', 'force', 'sad', 'action', 'decision', 'quitting']",10,66.66642761230469,133.7354965209961,9,80.41060638427734,122.32734680175781,9,66.25618743896484,124.63944244384766,9,20.942787170410156,182.25019073486328,18.964622497558594,183.6814842224121,18.152379989624023,183.93768119812012,17.466121673583984,184.43209838867188,21.060569763183594,181.9167366027832,20.83454132080078,182.3426399230957,23.478933334350586,180.59867477416992,16.953571319580078,185.383282661438,9
Mid,annotator1,ship,"['water', 'sea', 'sail', 'row', 'cruise', 'sailor', 'captain', 'course', 'travel', 'ocean']",10,58.204227447509766,147.6249771118164,10,70.79888916015625,139.54082870483398,10,64.9942626953125,142.72710800170898,10,22.069440841674805,181.24816513061523,19.557445526123047,183.47028732299805,19.33891487121582,184.416672706604,18.70148277282715,184.5777826309204,21.634756088256836,181.61346244812012,20.696918487548828,183.09177589416504,24.959022521972656,180.2037582397461,18.168867111206055,185.19181060791016,10
Mid,annotator1,crown,"['bearer', 'queen', 'palace', 'museum', 'gold', 'jewel', 'head', 'hair', 'round', 'leader']",10,67.63251495361328,139.29616165161133,10,77.28189849853516,135.7904510498047,10,73.42362213134766,139.20061111450195,10,22.52595329284668,179.3487777709961,19.64015007019043,182.1968479156494,19.181596755981445,183.66983222961426,18.13677406311035,185.11701774597168,19.88905143737793,184.09046363830566,18.836095809936523,185.29686164855957,22.142332077026367,183.09551429748535,17.01538848876953,186.108793258667,10
Mid,annotator1,soil,"['earth', 'dirt', 'plant', 'growth', 'flower', 'seeds', 'diapers', 'pants', 'garden', 'bag']",10,63.103057861328125,141.17420959472656,10,77.24388885498047,134.6204071044922,10,71.12407684326172,142.11680221557617,10,23.6593017578125,181.50267791748047,20.586896896362305,184.27734375,21.327157974243164,185.03099822998047,20.505250930786133,185.7523488998413,23.668670654296875,182.38361167907715,23.15438461303711,183.18392753601074,27.217145919799805,181.0500431060791,19.857553482055664,185.65128898620605,10
